id,loan_amnt,term,int_rate,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,pub_rec,acc_now_delinq,avg_cur_bal,chargeoff_within_12_mths,delinq_amnt,num_accts_ever_120_pd,num_actv_bc_tl,num_bc_sats,pub_rec_bankruptcies
20015,3000, 36 months,13.67%,B,,n/a,OWN,28000,Source Verified,Fully Paid,debt_consolidation,945xx,CA,6.6,2,0,0,0,21389,0,0,0,3,3,0
20016,4000, 60 months,17.76%,D,Platoon Sergeant,10+ years,RENT,70000,Verified,Fully Paid,major_purchase,308xx,GA,23.32,2,0,0,2,27111,0,50489,2,1,1,0
20017,13475, 36 months,17.76%,D,Implementation Specialist,10+ years,MORTGAGE,50000,Source Verified,Fully Paid,debt_consolidation,294xx,SC,3.87,1,0,1,0,23369,0,0,0,2,2,1
20018,5000, 36 months,19.52%,D,Senior Tax Accountant,2 years,MORTGAGE,57000,Verified,Fully Paid,debt_consolidation,672xx,KS,31.09,0,0,0,0,27999,0,0,0,3,4,0
20019,14500, 36 months,13.67%,B,International Account Specialist,10+ years,MORTGAGE,39000,Verified,Fully Paid,credit_card,145xx,NY,29.63,0,0,0,0,9282,0,0,0,3,3,0
20020,24000, 60 months,15.10%,C,Emergency Roadservice Agent,< 1 year,MORTGAGE,55000,Verified,Fully Paid,credit_card,913xx,CA,7.66,0,1,0,0,1109,0,0,0,4,12,0
20021,7000, 36 months,9.67%,B,mechanic,4 years,RENT,48000,Not Verified,Fully Paid,debt_consolidation,983xx,WA,4,0,0,1,0,1380,0,0,0,1,1,1
20022,9600, 36 months,15.61%,C,CATERING,4 years,OWN,30000,Not Verified,Charged Off,debt_consolidation,201xx,VA,9.32,0,2,0,0,775,0,0,0,1,2,0
20023,5200, 36 months,12.99%,B,Field Tchnician,1 year,RENT,32000,Not Verified,Fully Paid,debt_consolidation,295xx,SC,19.5,0,0,0,0,3108,0,0,0,3,3,0
20024,10400, 36 months,23.40%,E,3D Artist,< 1 year,RENT,52000,Not Verified,Fully Paid,debt_consolidation,333xx,FL,29.59,0,1,0,0,2957,0,0,0,6,9,0
20025,15000, 60 months,23.40%,E,Multi Store Loss Prevention Manager,2 years,MORTGAGE,72000,Source Verified,Fully Paid,debt_consolidation,232xx,VA,28.07,1,4,0,0,12428,0,0,1,2,7,0
20026,24000, 60 months,16.20%,C,Banker,6 years,MORTGAGE,85000,Verified,Fully Paid,debt_consolidation,446xx,OH,15.36,2,0,0,0,19411,0,0,0,6,7,0
20027,8000, 36 months,7.90%,A,Field Engineer,1 year,RENT,61000,Not Verified,Fully Paid,credit_card,641xx,MO,15.29,0,0,0,0,7128,0,0,0,3,3,0
20028,15000, 60 months,23.70%,F,Soldier,10+ years,RENT,60000,Source Verified,Fully Paid,other,319xx,GA,30.26,1,2,0,1,6198,0,66,0,4,3,0
20029,3150, 36 months,17.10%,C,Program Technician II,3 years,RENT,34044,Verified,Fully Paid,debt_consolidation,958xx,CA,25.6,2,0,0,0,3745,0,0,1,0,0,0
20030,4500, 36 months,21.70%,E,PMO,3 years,RENT,30000,Source Verified,Fully Paid,debt_consolidation,754xx,TX,1.58,0,1,0,0,440,0,0,0,0,0,0
20031,6000, 36 months,14.30%,C,Accounting Manager,10+ years,RENT,50000,Source Verified,Fully Paid,debt_consolidation,773xx,TX,31.23,0,0,0,0,6629,0,0,0,4,4,0
20032,10000, 36 months,15.10%,C,machine operator,10+ years,MORTGAGE,30000,Not Verified,Fully Paid,debt_consolidation,553xx,MN,23.84,0,1,0,0,2804,0,0,0,2,2,0
20033,14500, 60 months,18.55%,D,enrollment coordinator,10+ years,RENT,48000,Verified,Charged Off,debt_consolidation,957xx,CA,12.85,0,1,1,0,1241,0,0,0,3,3,1
20034,3000, 36 months,13.67%,B,driver,4 years,MORTGAGE,50000,Source Verified,Fully Paid,credit_card,984xx,WA,18.18,0,2,0,0,1902,0,0,1,1,1,0
20035,10000, 36 months,22.40%,E,Client Service Representative,1 year,RENT,41000,Not Verified,Fully Paid,moving,208xx,MD,3.51,0,2,0,0,3640,0,0,0,2,2,0
20036,9600, 36 months,9.67%,B,,n/a,MORTGAGE,63000,Verified,Fully Paid,credit_card,959xx,CA,3.12,0,1,1,0,642,0,0,1,5,6,1
20037,9000, 36 months,15.61%,C,,10+ years,RENT,144000,Verified,Fully Paid,debt_consolidation,949xx,CA,11.42,0,2,0,0,7966,0,0,0,9,10,0
20038,6625, 36 months,11.99%,B,Maintenance Tech,< 1 year,MORTGAGE,41600,Not Verified,Fully Paid,debt_consolidation,761xx,TX,2.91,0,0,0,0,36127,0,0,2,2,2,0
20039,8000, 60 months,19.20%,D,Guidance counselor,10+ years,MORTGAGE,70200,Verified,Fully Paid,moving,361xx,AL,34.31,0,1,0,0,13237,0,0,0,3,3,0
20040,1800, 36 months,14.30%,C,sales,5 years,MORTGAGE,75000,Source Verified,Charged Off,home_improvement,250xx,WV,23.5,0,2,1,0,9034,0,0,0,4,4,1
20041,15875, 36 months,14.30%,C,Equipment operator,10+ years,MORTGAGE,105000,Not Verified,Charged Off,credit_card,840xx,UT,17.03,1,0,1,0,29102,0,0,0,5,5,1
20042,12000, 36 months,9.67%,B,Sr Software engineer,< 1 year,MORTGAGE,115000,Not Verified,Fully Paid,debt_consolidation,923xx,CA,6.14,0,0,0,0,33329,0,0,0,2,4,0
20043,12000, 36 months,9.67%,B,server,2 years,RENT,50000,Not Verified,Fully Paid,debt_consolidation,112xx,NY,16.56,0,1,0,0,2987,0,0,0,5,8,0
20044,16500, 36 months,6.62%,A,General Manager,3 years,RENT,55000,Verified,Fully Paid,major_purchase,914xx,CA,19.11,0,2,0,0,4580,0,0,0,3,5,0
20045,10000, 60 months,19.52%,D,Electronic Technician,6 years,MORTGAGE,110000,Source Verified,Fully Paid,debt_consolidation,853xx,AZ,14.18,0,2,0,0,24239,0,0,0,6,8,0
20046,14000, 36 months,12.99%,B,Social Worker,1 year,OWN,42000,Not Verified,Fully Paid,debt_consolidation,067xx,CT,23.49,0,1,0,0,11025,0,0,0,4,5,0
20047,15125, 36 months,9.67%,B,Deck Machinist,9 years,MORTGAGE,60000,Not Verified,Fully Paid,debt_consolidation,234xx,VA,9.4,0,0,0,0,18875,0,0,0,2,2,0
20048,15000, 36 months,12.99%,B,MECHANIC,10+ years,MORTGAGE,76000,Source Verified,Charged Off,debt_consolidation,304xx,GA,22.24,1,1,0,0,11991,0,0,1,3,3,0
20049,6000, 36 months,13.67%,B,Assistant Principal,10+ years,MORTGAGE,50000,Verified,Fully Paid,debt_consolidation,814xx,CO,22.42,0,2,1,0,38235,0,0,0,2,2,1
20050,10000, 36 months,13.67%,B,Security Analyst,9 years,RENT,44000,Not Verified,Fully Paid,debt_consolidation,852xx,AZ,23.92,0,2,0,0,3389,0,0,0,5,5,0
20051,15000, 60 months,15.61%,C,instructional assistant,9 years,MORTGAGE,49000,Source Verified,Fully Paid,debt_consolidation,902xx,CA,18.32,0,0,1,0,3254,0,0,2,3,4,1
20052,3000, 60 months,22.40%,E,Regional Loss Prevention Manager,4 years,MORTGAGE,62000,Source Verified,Charged Off,car,471xx,IN,29.02,0,1,0,0,10803,0,0,0,6,7,0
20053,12000, 36 months,14.30%,C,EMT foreman,6 years,MORTGAGE,80000,Not Verified,Fully Paid,debt_consolidation,313xx,GA,4.26,0,1,0,0,57918,0,0,0,3,3,0
20054,28000, 60 months,16.20%,C,,< 1 year,MORTGAGE,102000,Verified,Fully Paid,debt_consolidation,532xx,WI,12.68,0,0,0,0,13800,0,0,0,2,4,0
20055,7500, 36 months,7.90%,A,Engineering Manager,10+ years,MORTGAGE,175000,Verified,Fully Paid,debt_consolidation,762xx,TX,17.3,0,1,0,0,46093,0,0,0,4,4,0
20056,8500, 36 months,10.99%,B,Sr. Relationship Banker,3 years,RENT,65000,Source Verified,Fully Paid,debt_consolidation,900xx,CA,9.21,0,2,1,0,2329,0,0,0,2,7,1
20057,4500, 36 months,9.67%,B,,10+ years,MORTGAGE,70000,Verified,Fully Paid,other,112xx,NY,5.88,0,0,0,0,74145,0,0,0,2,2,0
20058,2500, 36 months,9.67%,B,Chemistry Technician,1 year,RENT,44000,Not Verified,Fully Paid,debt_consolidation,286xx,NC,20.81,0,0,0,0,1879,0,0,0,3,3,0
20059,13000, 36 months,12.99%,B,RN,2 years,MORTGAGE,40000,Verified,Fully Paid,debt_consolidation,721xx,AR,13.95,0,0,0,0,18830,0,0,0,3,4,0
20060,21000, 36 months,9.67%,B,General Sales Manager,3 years,MORTGAGE,150000,Verified,Fully Paid,debt_consolidation,281xx,NC,21.18,0,0,1,0,10680,0,0,0,1,3,0
20061,11100, 36 months,17.10%,C,Technical Sergeant,10+ years,MORTGAGE,50000,Verified,Fully Paid,debt_consolidation,273xx,NC,34.11,1,0,0,0,29281,0,0,0,3,3,0
20062,9000, 36 months,20.20%,D,Treasurer,9 years,RENT,77844,Source Verified,Fully Paid,small_business,121xx,NY,10.13,0,0,0,0,2000,0,0,0,5,5,0
20063,14000, 36 months,11.99%,B,Senior Systems Analyst,2 years,MORTGAGE,81224,Not Verified,Fully Paid,credit_card,922xx,CA,8.92,1,0,0,0,34760,0,0,1,6,7,0
20064,23325, 60 months,22.40%,E,Accounts Receivable Manager,9 years,RENT,52000,Verified,Fully Paid,credit_card,923xx,CA,20.61,0,0,0,0,5779,0,0,0,3,3,0
20065,9600, 36 months,7.90%,A,Revenue Officer,4 years,RENT,52000,Source Verified,Fully Paid,debt_consolidation,700xx,LA,19.74,0,0,0,0,4868,0,0,0,2,2,0
20066,4000, 36 months,16.20%,C,Sr. Client Services,3 years,MORTGAGE,45000,Not Verified,Charged Off,credit_card,657xx,MO,13.65,0,1,0,0,9866,0,0,0,2,2,0
20067,12000, 36 months,12.99%,B,Manager,3 years,RENT,40000,Not Verified,Fully Paid,credit_card,941xx,CA,23.43,0,0,0,0,5792,0,0,0,4,4,0
20068,7800, 36 months,18.55%,D,Architect,10+ years,OWN,80000,Not Verified,Fully Paid,debt_consolidation,852xx,AZ,4.09,0,0,0,0,1689,0,0,0,4,4,0
20069,10000, 36 months,11.99%,B,Project Manager III,4 years,RENT,98000,Not Verified,Fully Paid,credit_card,371xx,TN,18.44,0,0,0,0,8492,0,0,0,4,4,0
20070,12000, 60 months,18.55%,D,Production,5 years,OWN,60000,Source Verified,Fully Paid,debt_consolidation,450xx,OH,11.06,0,0,1,0,8541,0,0,0,3,3,1
20071,5000, 36 months,13.67%,B,co-manager,1 year,RENT,40000,Verified,Fully Paid,major_purchase,060xx,CT,16.35,0,1,0,0,3373,0,0,2,2,3,0
20072,6000, 36 months,15.10%,C,Maint Mngr,5 years,RENT,40000,Not Verified,Fully Paid,credit_card,560xx,MN,10.2,0,0,0,0,1606,0,0,0,4,4,0
20073,24000, 60 months,15.61%,C,Signal Maintainer,10+ years,OWN,93000,Verified,Fully Paid,debt_consolidation,225xx,VA,16.62,0,3,0,0,69748,0,0,0,1,2,0
20074,6000, 36 months,8.90%,A,UW,2 years,MORTGAGE,70000,Not Verified,Fully Paid,home_improvement,273xx,NC,20.42,0,0,0,0,25847,0,0,0,1,2,0
20075,28000, 60 months,15.61%,C,Senior Quality Assurance Analyst,8 years,MORTGAGE,79500,Source Verified,Fully Paid,debt_consolidation,802xx,CO,13.27,0,0,0,0,30896,0,0,0,1,3,0
20076,25000, 36 months,9.67%,B,technician,10+ years,OWN,65000,Source Verified,Fully Paid,credit_card,442xx,OH,19.35,0,0,0,0,16537,0,0,0,3,4,0
20077,18000, 60 months,19.20%,D,Sr. Business Analyst,5 years,RENT,94000,Verified,Fully Paid,debt_consolidation,752xx,TX,20.98,0,0,0,0,4250,0,0,0,4,4,0
20078,13200, 36 months,20.20%,D,Lead Mechanic,< 1 year,MORTGAGE,47000,Not Verified,Fully Paid,home_improvement,606xx,IL,8.94,0,2,0,0,16084,0,0,6,4,4,0
20079,25000, 60 months,16.20%,C,Marketing Manager,10+ years,MORTGAGE,80000,Source Verified,Fully Paid,credit_card,707xx,LA,10.56,0,0,0,0,47547,0,0,0,5,5,0
20080,2800, 60 months,23.40%,E,coordinator,10+ years,OWN,47000,Verified,Fully Paid,other,245xx,VA,27.32,0,4,1,0,16654,0,0,0,3,3,1
20081,21000, 60 months,15.61%,C,Director of Compliance,3 years,OWN,286000,Source Verified,Fully Paid,home_improvement,284xx,NC,9.78,0,3,0,0,32882,0,0,0,0,2,0
20082,20000, 36 months,6.62%,A,Regulations Specialist,10+ years,MORTGAGE,98148,Source Verified,Fully Paid,debt_consolidation,998xx,AK,10.67,0,0,0,0,26791,0,0,0,5,8,0
20083,11400, 60 months,20.20%,D,,n/a,RENT,88000,Verified,Fully Paid,debt_consolidation,917xx,CA,16.64,0,1,2,0,3922,0,0,0,4,6,1
20084,1400, 36 months,15.61%,C,DREN III Project Coordinator,< 1 year,MORTGAGE,71000,Verified,Fully Paid,vacation,201xx,VA,21.15,1,0,0,0,28127,0,0,0,2,2,0
20085,5000, 36 months,11.99%,B,Director of IT,< 1 year,RENT,152000,Verified,Fully Paid,debt_consolidation,980xx,WA,15.53,0,0,0,0,70316,0,0,0,3,3,0
20086,16000, 36 months,7.62%,A,IT Operations,10+ years,MORTGAGE,130000,Not Verified,Fully Paid,credit_card,980xx,WA,11.65,0,0,0,0,24587,0,0,0,5,5,0
20087,9500, 36 months,15.10%,C,radiologist technologist,10+ years,RENT,56000,Not Verified,Fully Paid,debt_consolidation,210xx,MD,20.79,0,1,0,0,5977,0,0,0,4,4,0
20088,10000, 60 months,19.20%,D,ramp agent,10+ years,RENT,70000,Verified,Fully Paid,debt_consolidation,948xx,CA,18.02,0,0,0,0,6146,0,0,0,2,2,0
20089,12000, 60 months,19.20%,D,Carprnter,10+ years,MORTGAGE,60000,Verified,Charged Off,debt_consolidation,482xx,MI,8.68,2,3,0,0,1833,0,0,0,2,2,0
20090,25000, 60 months,15.10%,C,Supervisor Group Leader,10+ years,MORTGAGE,90000,Source Verified,Fully Paid,debt_consolidation,294xx,SC,9.01,0,1,0,0,23596,0,0,0,2,2,0
20091,10750, 36 months,12.99%,B,Caser Operator,3 years,RENT,33000,Not Verified,Fully Paid,debt_consolidation,846xx,UT,12.33,0,1,0,0,1367,0,0,0,2,3,0
20092,23000, 60 months,15.61%,C,Police Officer,< 1 year,RENT,65000,Verified,Fully Paid,credit_card,804xx,CO,25.5,2,0,0,0,30910,0,0,2,4,5,0
20093,17500, 60 months,23.10%,E,Automated Fin Proc Anlyst - Sr,5 years,MORTGAGE,86000,Source Verified,Charged Off,debt_consolidation,301xx,GA,23.6,1,1,0,0,20511,0,0,1,5,5,0
20094,30000, 36 months,11.99%,B,Program Coordinator ,8 years,RENT,71000,Verified,Charged Off,debt_consolidation,220xx,VA,33.61,0,0,0,0,6886,0,0,0,2,3,0
20095,28000, 36 months,9.67%,B,TEACHER,1 year,MORTGAGE,104380,Source Verified,Fully Paid,debt_consolidation,060xx,CT,23.82,2,1,0,0,24453,0,0,0,6,6,0
20096,7700, 36 months,10.99%,B,courier,5 years,RENT,40000,Verified,Fully Paid,debt_consolidation,104xx,NY,11.04,0,0,0,0,1894,0,0,0,4,4,0
20097,21600, 60 months,13.67%,B,Art Director,< 1 year,MORTGAGE,100000,Verified,Fully Paid,debt_consolidation,275xx,NC,16.49,0,0,0,0,48200,0,0,0,3,3,0
20098,18000, 36 months,7.90%,A,Registered Nurse,10+ years,MORTGAGE,40000,Verified,Fully Paid,debt_consolidation,280xx,NC,23.04,0,0,0,0,1434,0,0,0,5,5,0
20099,20000, 36 months,10.99%,B,Hotel manager,2 years,RENT,70000,Source Verified,Fully Paid,debt_consolidation,481xx,MI,7.57,0,0,0,0,2287,0,0,0,3,4,0
20100,11000, 36 months,13.67%,B,Senior Accountant,2 years,RENT,77000,Not Verified,Fully Paid,debt_consolidation,028xx,RI,21.09,0,2,0,0,4101,0,0,0,3,4,0
20101,20000, 60 months,15.10%,C,"Manager, Service Operations",10+ years,MORTGAGE,81000,Verified,Fully Paid,debt_consolidation,618xx,IL,19.39,5,0,0,0,12149,0,0,1,2,3,0
20102,19600, 60 months,22.40%,E,Database administrator ,5 years,RENT,44000,Verified,Fully Paid,debt_consolidation,286xx,NC,16.78,0,2,0,0,3632,0,0,2,3,4,0
20103,10500, 60 months,18.55%,D,"Payroll, Human Resources",10+ years,RENT,65000,Source Verified,Fully Paid,debt_consolidation,018xx,MA,13.83,0,4,0,0,1944,0,0,4,1,2,0
20104,20000, 36 months,11.99%,B,Graduate Medical Coordinator,5 years,RENT,53000,Source Verified,Fully Paid,credit_card,958xx,CA,15.69,0,0,0,0,7460,0,0,0,6,6,0
20105,12000, 36 months,13.67%,B,Certified Nursing Assistant ,6 years,RENT,36000,Not Verified,Fully Paid,credit_card,940xx,CA,27.03,0,1,0,0,2207,0,0,0,2,2,0
20106,30175, 60 months,23.40%,E,Supply Planner,10+ years,MORTGAGE,108000,Verified,Fully Paid,debt_consolidation,064xx,CT,29.68,0,2,0,0,6343,0,0,0,10,12,0
20107,10000, 36 months,12.99%,B,Administrative Assistant,10+ years,OWN,65000,Not Verified,Fully Paid,other,029xx,RI,10.07,1,0,0,0,1562,0,0,1,5,5,0
20108,10000, 60 months,20.20%,D,manager,1 year,OWN,36000,Source Verified,Charged Off,debt_consolidation,497xx,MI,20.07,0,0,0,0,3471,0,0,0,3,3,0
20109,8875, 36 months,15.61%,C,,n/a,RENT,33000,Verified,Fully Paid,credit_card,950xx,CA,30.49,0,0,0,0,1910,0,0,0,4,4,0
20110,22750, 36 months,10.99%,B,,n/a,RENT,54000,Verified,Fully Paid,credit_card,112xx,NY,22.04,0,0,0,0,1927,0,0,0,6,8,0
20111,12000, 60 months,19.52%,D,Mail Carrier,9 years,RENT,70000,Source Verified,Charged Off,debt_consolidation,232xx,VA,15.12,0,0,0,0,4254,0,0,0,6,6,0
20112,16425, 36 months,14.30%,C,Case Manager,8 years,RENT,70000,Not Verified,Fully Paid,car,075xx,NJ,15.92,1,0,0,0,1813,0,0,1,4,10,0
20113,20000, 36 months,21.00%,E,Manager,1 year,RENT,88000,Verified,Fully Paid,small_business,308xx,GA,10.77,1,5,0,0,15171,0,0,0,6,7,0
20114,25000, 36 months,14.30%,C,licensed Physical Therapist Assistant,6 years,RENT,95000,Source Verified,Fully Paid,debt_consolidation,217xx,MD,9.59,0,0,0,0,4061,0,0,1,2,2,0
20115,10000, 36 months,12.99%,B,Sr. Market Research Analyst,10+ years,MORTGAGE,70000,Not Verified,Fully Paid,debt_consolidation,452xx,OH,26.35,1,0,0,0,11671,0,0,0,3,3,0
20116,10000, 36 months,15.10%,C, Rural  Carrier,10+ years,RENT,63800,Verified,Fully Paid,debt_consolidation,490xx,MI,31.51,1,3,0,1,8650,0,185,0,4,6,0
20117,15000, 36 months,15.10%,C,Quality Assurance Manager,1 year,MORTGAGE,82000,Verified,Charged Off,credit_card,460xx,IN,32.39,2,0,0,0,43919,0,0,2,2,2,0
20118,28000, 36 months,11.99%,B,Teacher,10+ years,RENT,80000,Verified,Fully Paid,credit_card,100xx,NY,11.85,0,0,0,0,2263,0,0,0,3,5,0
20119,12500, 36 months,7.90%,A,,1 year,MORTGAGE,54500,Verified,Fully Paid,debt_consolidation,329xx,FL,16.6,0,1,0,0,11445,0,0,0,3,4,0
20120,2875, 36 months,16.20%,C,"Manager, Marketing",8 years,RENT,80537,Source Verified,Fully Paid,debt_consolidation,900xx,CA,9.04,0,0,1,0,4423,0,0,0,2,3,0
20121,17050, 60 months,23.70%,F,,n/a,MORTGAGE,39000,Verified,Charged Off,debt_consolidation,371xx,TN,13.94,0,1,0,0,1666,0,0,1,2,2,0
20122,6800, 36 months,7.62%,A,Buyer,10+ years,RENT,58642,Not Verified,Fully Paid,credit_card,074xx,NJ,20.57,0,1,0,0,5024,0,0,0,3,3,0
20123,16000, 36 months,10.99%,B,Security Woork Control Project Analyst,8 years,RENT,72000,Not Verified,Fully Paid,credit_card,196xx,PA,17.31,0,0,0,0,2868,0,0,0,4,4,0
20124,5500, 60 months,25.80%,G,CAREGIVER,< 1 year,RENT,25000,Verified,Charged Off,debt_consolidation,907xx,CA,20.98,0,1,0,0,1079,0,0,1,4,5,0
20125,18000, 60 months,15.10%,C,Nurse,4 years,MORTGAGE,53000,Verified,Fully Paid,debt_consolidation,537xx,WI,19.47,2,0,0,0,21182,0,0,1,3,3,0
20126,15000, 60 months,15.10%,C,Biller,2 years,MORTGAGE,44120,Source Verified,Fully Paid,debt_consolidation,554xx,MN,18.58,0,0,0,0,10780,0,0,2,3,4,0
20127,5600, 36 months,11.99%,B,Golf Professional,3 years,RENT,35000,Source Verified,Fully Paid,debt_consolidation,535xx,WI,25.27,0,0,0,0,2452,1,0,2,3,5,0
20128,25000, 60 months,17.76%,D,Low Boy Driver,5 years,MORTGAGE,65000,Verified,Fully Paid,debt_consolidation,451xx,OH,25.46,0,0,1,0,14992,0,0,0,5,5,1
20129,22800, 60 months,25.57%,F,Supervisor,10+ years,RENT,75000,Verified,Fully Paid,debt_consolidation,609xx,IL,25.97,0,1,0,0,6317,0,0,0,2,3,0
20130,15000, 36 months,13.67%,B,Teacher,< 1 year,RENT,42000,Verified,Fully Paid,credit_card,421xx,KY,32.88,0,0,0,0,2977,0,0,0,4,4,0
20131,21000, 60 months,21.00%,E,President,10+ years,MORTGAGE,150000,Verified,Fully Paid,debt_consolidation,928xx,CA,17.53,1,2,0,0,22999,0,0,1,4,5,0
20132,13000, 60 months,23.10%,E,Driver,9 years,MORTGAGE,60000,Source Verified,Fully Paid,home_improvement,959xx,CA,12.6,0,1,0,0,23803,0,0,0,3,3,0
20133,20000, 36 months,12.99%,B,Manager,< 1 year,MORTGAGE,55000,Source Verified,Fully Paid,debt_consolidation,275xx,NC,20.23,0,0,1,0,9777,0,0,0,4,5,1
20134,6400, 36 months,11.99%,B,Tech Lead,< 1 year,RENT,25000,Not Verified,Fully Paid,debt_consolidation,641xx,MO,15.79,0,0,0,0,2872,0,0,0,3,3,0
20135,10200, 36 months,12.99%,B,Facility Maintenance Manager,2 years,OWN,33000,Not Verified,Fully Paid,credit_card,319xx,GA,22.58,0,0,0,0,5114,0,0,0,5,5,0
20136,6500, 36 months,7.62%,A,Painting Foreman,< 1 year,RENT,40000,Not Verified,Fully Paid,credit_card,530xx,WI,10.08,0,0,0,0,1611,0,0,0,1,2,0
20137,13500, 36 months,11.99%,B,Accountant,10+ years,MORTGAGE,67900,Not Verified,Fully Paid,debt_consolidation,317xx,GA,22.85,5,0,0,0,11520,0,0,0,6,7,0
20138,19400, 60 months,19.52%,D,Health Educator,10+ years,RENT,73000,Source Verified,Charged Off,debt_consolidation,021xx,MA,29.18,0,1,0,0,5109,0,0,0,2,2,0
20139,17000, 36 months,15.10%,C,Trainer/Curriculum Development,8 years,MORTGAGE,51500,Source Verified,Fully Paid,debt_consolidation,402xx,KY,17.62,0,1,0,0,15596,0,0,1,5,6,0
20140,25600, 36 months,8.90%,A,Sales,8 years,MORTGAGE,122000,Source Verified,Fully Paid,debt_consolidation,712xx,LA,11.04,0,0,0,0,24341,0,0,0,4,4,0
20141,20000, 60 months,18.55%,D,Superintendent ,10+ years,MORTGAGE,125000,Source Verified,Fully Paid,debt_consolidation,024xx,MA,13.51,0,0,0,0,46374,0,0,0,4,4,0
20142,1000, 36 months,15.10%,C,Air traffic Control,10+ years,MORTGAGE,67500,Verified,Fully Paid,other,233xx,VA,22.9,2,0,0,0,32450,0,0,0,1,1,0
20143,12000, 36 months,23.40%,E,HR Officer,10+ years,RENT,125000,Source Verified,Fully Paid,debt_consolidation,283xx,NC,27.93,1,0,0,0,5832,0,0,2,5,5,0
20144,12000, 36 months,9.67%,B,trooper,9 years,RENT,85000,Source Verified,Fully Paid,credit_card,121xx,NY,31.23,0,0,0,0,5498,0,0,0,6,7,0
20145,18000, 60 months,20.20%,D,Assisted Living Director ,< 1 year,RENT,48800,Source Verified,Fully Paid,debt_consolidation,926xx,CA,27.42,0,1,0,0,3593,0,0,0,2,2,0
20146,19000, 36 months,17.10%,C,Motorcycle Instructor,3 years,RENT,49000,Not Verified,Fully Paid,credit_card,100xx,NY,17.69,0,0,0,0,4657,0,0,0,4,4,0
20147,15000, 36 months,9.67%,B,Customer Service Manager,10+ years,OWN,48420,Not Verified,Fully Paid,debt_consolidation,968xx,HI,18.81,0,0,0,0,1540,0,0,0,6,6,0
20148,9600, 36 months,15.61%,C,Implementation Team Lead,4 years,RENT,53000,Verified,Fully Paid,credit_card,334xx,FL,15.31,1,2,0,0,3824,0,0,3,4,4,0
20149,11500, 36 months,7.62%,A,Judge Advocate,4 years,MORTGAGE,70000,Verified,Fully Paid,debt_consolidation,073xx,NJ,26.88,0,0,0,0,36328,0,0,0,1,3,0
